Id,AvgSteps,AvgSleepMinutes,AvgSedentaryMinutes,AvgSleepEfficiency
1503960366,11640.526315789473,360.28,809.8421052631579,0.9363853096202285
1644430081,9274.8,294.0,1034.2,0.8820403876004859
1844505072,3640.5833333333335,652.0,1035.3333333333333,0.6784599375650364
1927972279,2180.8333333333335,417.0,952.9166666666666,0.947008102905974
2026352035,3392.75,506.17857142857144,659.1666666666666,0.9413413817950905
2320127002,3138.4166666666665,61.0,1249.25,0.8840579710144928
2347167796,9800.066666666668,446.8,683.8666666666667,0.9103703669407986
3977333714,8663.916666666666,293.64285714285717,708.75,0.6336690783788377
4020332650,5776.59375,349.375,1083.21875,0.9303575827388795
4319703577,7820.583333333333,476.65384615384613,780.0833333333334,0.9474974886759654
4388161847,0.0,400.17391304347825,1384.25,0.9472358254962459
4445114986,4293.066666666667,385.17857142857144,861.4,0.9253888737881236
4558609924,5785.25,127.6,1085.3333333333333,0.9071276554333297
4702921684,7943.4,417.48148148148147,726.7333333333333,0.9524705768018094
5553957443,8354.75,463.48387096774195,607.75,0.9152072640377417
5577150313,8608.181818181818,432.0,665.8181818181819,0.9392114958308436
6117666160,8248.6,478.77777777777777,864.1,0.9401978380765398
6775888955,5559.0,349.6666666666667,1017.8888888888889,0.9420280048358867
6962181067,12639.714285714286,448.0,606.2857142857143,0.9614872484018995
7007744171,12260.333333333334,68.5,1000.6666666666666,0.9571171531387445
7086361926,6103.916666666667,453.125,888.8333333333334,0.9713149988886259
8053475328,14844.363636363636,297.0,1114.4545454545455,0.9848879098008452
8378563200,8135.25,445.1290322580645,684.1666666666666,0.9175083503736388
8792009665,3094.9166666666665,435.6666666666667,893.5833333333334,0.9603924591769254
